epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.9802,1.47619,2.66475,1.65081,0.00333,1,0.79881,0.44905,0.94479,3.09603,1.3069,0.00012,0.00012,0.00012
2,7.58598,0.98038,1.86273,1.35595,0.00333,1,0.98357,0.59302,0.87773,2.76777,1.34,0.000257426,0.000257426,0.000257426
3,11.3618,1.02788,1.60393,1.37341,0.84174,0.88795,0.97214,0.40974,1.20466,2.91045,1.65787,0.00039208,0.00039208,0.00039208
4,15.0664,1.22395,1.45852,1.46845,0.00333,1,0.92124,0.50865,0.9415,2.87645,1.46425,0.000523962,0.000523962,0.000523962
5,18.6349,1.06911,1.37571,1.34894,0.88526,1,0.98269,0.61536,0.96499,2.41011,1.44314,0.000653072,0.000653072,0.000653072
6,22.232,1.18044,1.37035,1.42775,0.91291,0.87537,0.95654,0.58467,1.14128,2.26896,1.62206,0.00077941,0.00077941,0.00077941
7,25.7678,0.93115,1.23309,1.24702,0.86073,0.83333,0.95669,0.57694,1.24267,2.09554,1.71193,0.000902976,0.000902976,0.000902976
8,29.3245,1.03227,1.13947,1.29353,0.7615,0.79983,0.86121,0.43089,1.38782,2.56607,1.73006,0.00102377,0.00102377,0.00102377
9,32.8819,1.05098,1.20149,1.34678,0.67734,0.75,0.79506,0.24226,1.9691,2.44827,3.23318,0.00114179,0.00114179,0.00114179
10,36.4679,1.04439,1.08952,1.26083,0.64601,0.83333,0.68145,0.22043,2.2341,2.49607,4.07031,0.00125704,0.00125704,0.00125704
11,40.1767,1.01085,1.1491,1.30132,0.7454,0.97702,0.85293,0.49812,1.16353,2.369,1.59523,0.00136952,0.00136952,0.00136952
12,43.8351,1.064,1.08675,1.29317,0.57098,0.66667,0.67411,0.2634,1.5905,2.50106,1.88598,0.00147923,0.00147923,0.00147923
13,47.4751,1.08727,1.22041,1.37817,0.77846,0.91667,0.90077,0.27822,2.03132,2.62498,2.57186,0.00158616,0.00158616,0.00158616
14,51.124,1.17778,1.16642,1.42416,0.77846,0.91667,0.90077,0.27822,2.03132,2.62498,2.57186,0.00169032,0.00169032,0.00169032
15,54.7339,1.04343,1.09359,1.23806,0.72951,0.67485,0.80481,0.28019,2.00902,2.26567,2.46116,0.0017228,0.0017228,0.0017228
16,58.3044,1.02516,1.02221,1.25806,0.82947,0.407,0.67945,0.42083,1.33253,2.14299,1.79592,0.001703,0.001703,0.001703
17,61.8935,0.99229,0.96076,1.29788,0.71523,0.58333,0.72261,0.46712,1.33804,1.82996,1.88296,0.0016832,0.0016832,0.0016832
18,65.5654,1.00032,1.14411,1.38413,0.72695,0.75,0.73063,0.24038,2.30811,2.97661,3.79522,0.0016634,0.0016634,0.0016634
19,69.2467,1.01531,0.97847,1.25193,0.98514,1,0.995,0.50339,1.63604,3.39569,2.77963,0.0016436,0.0016436,0.0016436
20,73.0979,1.04022,0.9941,1.33883,0.98869,1,0.995,0.5948,1.2909,1.65984,1.77094,0.0016238,0.0016238,0.0016238
21,77.0798,0.89371,0.88572,1.19596,0.92116,0.97503,0.98269,0.52479,1.49889,1.49102,1.94096,0.001604,0.001604,0.001604
22,80.8448,0.96319,0.96041,1.33073,0.92116,0.97503,0.98269,0.52479,1.49889,1.49102,1.94096,0.0015842,0.0015842,0.0015842
23,84.6172,1.05853,0.97984,1.30957,0.8542,1,0.98269,0.62726,1.2851,1.27137,1.61591,0.0015644,0.0015644,0.0015644
24,88.43,0.98736,0.93151,1.24513,0.98991,1,0.995,0.68272,1.14683,1.16884,1.45864,0.0015446,0.0015446,0.0015446
25,92.3491,1.10794,0.88375,1.24445,0.77531,0.91667,0.89766,0.37423,1.97804,1.93118,2.50277,0.0015248,0.0015248,0.0015248
26,96.0819,1.11957,0.93033,1.30482,0.93906,1,0.995,0.59575,1.39981,1.46472,1.80352,0.001505,0.001505,0.001505
27,99.7824,1.03561,0.88349,1.23092,0.85245,1,0.98269,0.6159,1.33468,1.43034,1.98884,0.0014852,0.0014852,0.0014852
28,103.404,0.90325,0.88366,1.2429,0.85542,1,0.98885,0.70183,1.16997,1.30486,1.77427,0.0014654,0.0014654,0.0014654
29,107.073,0.9293,0.8613,1.24898,0.99362,1,0.995,0.67178,1.12147,1.13877,1.58145,0.0014456,0.0014456,0.0014456
30,110.709,0.96121,0.85453,1.24446,0.99362,1,0.995,0.67178,1.12147,1.13877,1.58145,0.0014258,0.0014258,0.0014258
31,114.361,0.87642,0.77318,1.19055,0.99289,1,0.995,0.69493,1.06815,1.02883,1.39362,0.001406,0.001406,0.001406
32,118.02,1.02536,0.86408,1.28472,0.97951,1,0.995,0.63922,1.2029,1.22944,1.49161,0.0013862,0.0013862,0.0013862
33,121.711,0.82548,0.77203,1.18259,0.99218,1,0.995,0.63475,1.27042,1.2226,1.51155,0.0013664,0.0013664,0.0013664
34,125.373,0.79578,0.74083,1.14753,0.99494,1,0.995,0.6632,1.15386,0.94332,1.40847,0.0013466,0.0013466,0.0013466
35,128.95,0.88259,0.70895,1.18726,0.99551,1,0.995,0.61217,1.27061,0.87761,1.5303,0.0013268,0.0013268,0.0013268
36,132.593,0.86298,0.70628,1.22074,0.99518,1,0.995,0.60477,1.39658,0.92209,1.64463,0.001307,0.001307,0.001307
37,136.195,0.8596,0.74372,1.17336,0.99504,1,0.995,0.63604,1.37901,0.97565,1.65163,0.0012872,0.0012872,0.0012872
38,139.765,0.80773,0.69951,1.14789,0.99504,1,0.995,0.63604,1.37901,0.97565,1.65163,0.0012674,0.0012674,0.0012674
39,143.42,0.82223,0.70942,1.16723,0.99568,1,0.995,0.57206,1.43224,0.94361,1.70972,0.0012476,0.0012476,0.0012476
